Drugname,Price,Search Query,Date,Price_prev,Price Changed,Form,Company,Region,Category
ABILIFY 15MG 10 TAB.,1,AB,2024-10-07 15:47:22,2.0,True,Injection,PharmaCorp,North America,Antibiotic
ABILIFY 15MG 10 TAB.,1,AB,2024-10-07 15:47:22,1.0,True,Tablet,CureWell,Africa,Vitamin
ABILIFY 15MG TAB.,2,AB,2024-10-07 15:47:23,2.0,True,Ointment,PharmaCorp,Europe,Painkiller
ABILIFY 5 MG TAB,1,AB,2024-10-07 15:47:23,1.0,True,Injection,PharmaCorp,North America,Vitamin
ABILIFY 5MG 10 TAB,1,AB,2024-10-07 15:47:23,1.0,True,Tablet,PharmaCorp,Middle East,Antibiotic
ABILIFY 5MG 10 TAB,1,AB,2024-10-07 15:47:23,11.0,True,Ointment,CureWell,Europe,Vitamin
ABILIFY 5MG 10 TAB,11,AB,2024-10-07 15:47:23,1.0,True,Capsule,MedGen,Middle East,Antiviral
ABILIFY 5MG 10 TAB,11,AB,2024-10-07 15:47:23,11.0,True,Syrup,PharmaCorp,Africa,Antibiotic
ABILIFY 5MG TAB,2,AB,2024-10-07 15:47:23,2.0,True,Tablet,MediHealth,Asia,Antibiotic
ABILIFY 5MG TAB,2,AB,2024-10-07 15:47:23,1.0,True,Tablet,BioTech,Asia,Antiviral
ABILIFY 5MG TAB,2,AB,2024-10-07 15:47:23,13.0,True,Tablet,MediHealth,Middle East,Painkiller
ABILIFY 5MG TAB,1,AB,2024-10-07 15:47:23,2.0,True,Injection,BioTech,Europe,Antibiotic
ABILIFY 5MG TAB,1,AB,2024-10-07 15:47:23,1.0,True,Ointment,MediHealth,Africa,Painkiller
ABILIFY 5MG TAB,1,AB,2024-10-07 15:47:23,13.0,True,Syrup,PharmaCorp,Asia,Antiviral
ABILIFY 5MG TAB,13,AB,2024-10-07 15:47:23,2.0,True,Capsule,BioTech,Africa,Antifungal
ABILIFY 5MG TAB,13,AB,2024-10-07 15:47:23,1.0,True,Ointment,MedGen,Africa,Antiviral
ABILIFY 5MG TAB,13,AB,2024-10-07 15:47:23,13.0,True,Injection,CureWell,Middle East,Antiviral
ABILIFY MAINTENA 400 MG I.M. PREFILLED S,1,AB,2024-10-07 15:47:23,1.0,True,Tablet,BioTech,North America,Painkiller
ABIMOL 150MG/5ML SYRUP,1,AB,2024-10-07 15:47:23,1.0,True,Syrup,CureWell,Asia,Antiviral
ABIMOL 150MG/5ML SYRUP,1,AB,2024-10-07 15:47:23,1.0,True,Syrup,BioTech,Europe,Antiviral
ABIMOL 150MG/5ML SYRUP,1,AB,2024-10-07 15:47:23,1.0,True,Syrup,PharmaCorp,Africa,Antifungal
ABIMOL 150MG/5ML SYRUP,1,AB,2024-10-07 15:47:23,1.0,True,Capsule,MediHealth,Europe,Antibiotic
ABIMOL 20TAB,23,AB,2024-10-07 15:47:23,23.0,True,Injection,PharmaCorp,Asia,Antiviral
ABIMOL 20TAB,23,AB,2024-10-07 15:47:23,1.0,True,Syrup,CureWell,North America,Vitamin
ABIMOL 20TAB,23,AB,2024-10-07 15:47:23,1.0,True,Capsule,MediHealth,Europe,Antiviral
ABIMOL 20TAB,2,AB,2024-10-07 15:47:23,23.0,True,Syrup,PharmaCorp,Europe,Antibiotic
ABIMOL 20TAB,2,AB,2024-10-07 15:47:23,1.0,True,Capsule,BioTech,Africa,Antiviral
ABIMOL 20TAB,2,AB,2024-10-07 15:47:23,1.0,True,Tablet,MediHealth,North America,Antifungal
ABIMOL 20TAB,1,AB,2024-10-07 15:47:23,23.0,True,Injection,CureWell,Africa,Antiviral
ABIMOL 20TAB,1,AB,2024-10-07 15:47:23,1.0,True,Ointment,CureWell,Europe,Antifungal
ABIMOL 20TAB,1,AB,2024-10-07 15:47:23,1.0,True,Capsule,MedGen,Middle East,Vitamin
ABIMOL 300MG RECTAL 5 SUPP,3,AB,2024-10-07 15:47:23,3.0,True,Ointment,CureWell,Europe,Vitamin
ABIMOL 300MG RECTAL 5 SUPP,3,AB,2024-10-07 15:47:23,69.0,True,Injection,BioTech,Europe,Vitamin
ABIMOL 300MG RECTAL 5 SUPP,3,AB,2024-10-07 15:47:23,2.0,True,Capsule,PharmaCorp,Asia,Antibiotic
ABIMOL 300MG RECTAL 5 SUPP,3,AB,2024-10-07 15:47:23,10.0,True,Ointment,CureWell,Africa,Vitamin
ABIMOL 300MG RECTAL 5 SUPP,3,AB,2024-10-07 15:47:23,2.0,True,Capsule,BioTech,Africa,Antiviral
ABIMOL 300MG RECTAL 5 SUPP,70,AB,2024-10-07 15:47:23,3.0,True,Tablet,MedGen,Middle East,Antiviral
ABIMOL 300MG RECTAL 5 SUPP,70,AB,2024-10-07 15:47:23,69.0,True,Tablet,MediHealth,North America,Painkiller
ABIMOL 300MG RECTAL 5 SUPP,70,AB,2024-10-07 15:47:23,2.0,True,Ointment,MedGen,Europe,Painkiller
ABIMOL 300MG RECTAL 5 SUPP,70,AB,2024-10-07 15:47:23,10.0,True,Syrup,PharmaCorp,Africa,Antibiotic
ABIMOL 300MG RECTAL 5 SUPP,70,AB,2024-10-07 15:47:23,2.0,True,Ointment,MediHealth,North America,Antiviral
ABIMOL 300MG RECTAL 5 SUPP,2,AB,2024-10-07 15:47:23,3.0,True,Syrup,BioTech,Africa,Antifungal
ABIMOL 300MG RECTAL 5 SUPP,2,AB,2024-10-07 15:47:23,69.0,True,Syrup,BioTech,Europe,Antifungal
ABIMOL 300MG RECTAL 5 SUPP,2,AB,2024-10-07 15:47:23,2.0,True,Ointment,CureWell,Africa,Painkiller
ABIMOL 300MG RECTAL 5 SUPP,2,AB,2024-10-07 15:47:23,10.0,True,Capsule,MediHealth,Middle East,Antibiotic
ABIMOL 300MG RECTAL 5 SUPP,2,AB,2024-10-07 15:47:23,2.0,True,Capsule,PharmaCorp,Africa,Antiviral
ABIMOL 300MG RECTAL 5 SUPP ثلاجة,1,AB,2024-10-07 15:47:23,1.0,True,Injection,MediHealth,North America,Antibiotic
ABIMOL 300MG RECTAL SUPP.,3,AB,2024-10-07 15:47:23,3.0,True,Syrup,PharmaCorp,Africa,Antibiotic
ABIMOL 300MG 5 RECTAL SUPP.,1,AB,2024-10-07 15:47:23,1.0,True,Syrup,MediHealth,Middle East,Vitamin
ABIMOL 300MG 5SUPP,1,AB,2024-10-07 15:47:23,1.0,True,Ointment,MedGen,Middle East,Antifungal
ABIMOL 300MG INF 5R.SUPP. مسكن/خافض حرار,1,AB,2024-10-07 15:47:23,1.0,True,Tablet,BioTech,Europe,Antifungal
ABIMOL 300MG RECTAL 5 SUPP,10,AB,2024-10-07 15:47:23,3.0,True,Ointment,PharmaCorp,Asia,Antiviral
ABIMOL 300MG RECTAL 5 SUPP,10,AB,2024-10-07 15:47:23,69.0,True,Injection,PharmaCorp,Middle East,Antifungal
ABIMOL 300MG RECTAL 5 SUPP,10,AB,2024-10-07 15:47:23,2.0,True,Ointment,PharmaCorp,Asia,Antiviral
ABIMOL 300MG RECTAL 5 SUPP,10,AB,2024-10-07 15:47:23,10.0,True,Ointment,PharmaCorp,Asia,Antiviral
ABIMOL 300MG RECTAL 5 SUPP,10,AB,2024-10-07 15:47:23,2.0,True,Ointment,MedGen,Africa,Painkiller
ABIMOL 300MG RECTAL 5 SUPP,2,AB,2024-10-07 15:47:23,3.0,True,Injection,BioTech,Asia,Painkiller
ABIMOL 300MG RECTAL 5 SUPP,2,AB,2024-10-07 15:47:23,69.0,True,Injection,BioTech,Middle East,Painkiller
ABIMOL 300MG RECTAL 5 SUPP,2,AB,2024-10-07 15:47:23,2.0,True,Syrup,CureWell,Asia,Painkiller
ABIMOL 300MG RECTAL 5 SUPP,2,AB,2024-10-07 15:47:23,10.0,True,Injection,CureWell,Asia,Antibiotic
ABIMOL 300MG RECTAL 5 SUPP,2,AB,2024-10-07 15:47:23,2.0,True,Capsule,CureWell,Middle East,Painkiller
ABIMOL 500 MG 20 TAB,1,AB,2024-10-07 15:47:23,1.0,True,Tablet,BioTech,North America,Painkiller
ABIMOL 500 MG 20 TAB,1,AB,2024-10-07 15:47:23,2.0,True,Capsule,BioTech,Africa,Antifungal
ABIMOL 500 MG 20 TAB,1,AB,2024-10-07 15:47:23,2.0,True,Injection,BioTech,Europe,Antifungal
ABIMOL 500 MG 20 TAB,2,AB,2024-10-07 15:47:23,1.0,True,Syrup,BioTech,North America,Antiviral
ABIMOL 500 MG 20 TAB,2,AB,2024-10-07 15:47:23,2.0,True,Tablet,MedGen,North America,Antiviral
ABIMOL 500 MG 20 TAB,2,AB,2024-10-07 15:47:23,2.0,True,Injection,PharmaCorp,Middle East,Antiviral
ABIMOL 500 MG 20 TAB,2,AB,2024-10-07 15:47:23,1.0,True,Injection,PharmaCorp,Africa,Antibiotic
ABIMOL 500 MG 20 TAB,2,AB,2024-10-07 15:47:23,2.0,True,Injection,MediHealth,Europe,Antibiotic
ABIMOL 500 MG 20 TAB,2,AB,2024-10-07 15:47:23,2.0,True,Syrup,MediHealth,Africa,Painkiller
ABIMOL 500 MG 20 TAB,14,AB,2024-10-07 15:47:23,1.0,True,Syrup,BioTech,Middle East,Antifungal
ABIMOL 500 MG 20 TAB,14,AB,2024-10-07 15:47:23,2.0,True,Tablet,CureWell,Europe,Antiviral
ABIMOL 500 MG 20 TAB,14,AB,2024-10-07 15:47:23,2.0,True,Tablet,MedGen,Middle East,Antibiotic
ABIMOL EXTRA 20 TAB,25,AB,2024-10-07 15:47:23,25.0,True,Capsule,PharmaCorp,Africa,Painkiller
ABIMOL EXTRA 20 TAB,25,AB,2024-10-07 15:47:23,1.0,True,Syrup,BioTech,Asia,Antiviral
ABIMOL EXTRA 20 TAB,25,AB,2024-10-07 15:47:23,1.0,True,Injection,BioTech,North America,Antifungal
ABIMOL EXTRA 20 TAB,25,AB,2024-10-07 15:47:23,1.0,True,Syrup,MedGen,Africa,Vitamin
ABIMOL EXTRA 20 TAB,25,AB,2024-10-07 15:47:23,1.0,True,Syrup,MedGen,Europe,Antifungal
ABIMOL EXTRA 20 TAB,25,AB,2024-10-07 15:47:23,3.0,True,Capsule,CureWell,North America,Antifungal
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,25.0,True,Injection,MedGen,North America,Antiviral
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Injection,PharmaCorp,Europe,Antiviral
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Syrup,MediHealth,North America,Antiviral
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Capsule,BioTech,North America,Antifungal
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Tablet,CureWell,Middle East,Vitamin
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,3.0,True,Injection,PharmaCorp,Asia,Painkiller
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,25.0,True,Injection,MedGen,Asia,Vitamin
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Syrup,CureWell,Middle East,Painkiller
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Capsule,MedGen,Asia,Antibiotic
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Injection,CureWell,Africa,Antifungal
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Capsule,MediHealth,Europe,Painkiller
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,3.0,True,Syrup,PharmaCorp,North America,Antiviral
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,25.0,True,Ointment,MediHealth,North America,Antifungal
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Tablet,BioTech,Middle East,Vitamin
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Syrup,MediHealth,North America,Antiviral
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Injection,BioTech,Middle East,Antifungal
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Tablet,PharmaCorp,North America,Antibiotic
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,3.0,True,Tablet,MediHealth,North America,Painkiller
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,25.0,True,Injection,CureWell,Middle East,Vitamin
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Tablet,PharmaCorp,Africa,Painkiller
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Capsule,MedGen,Middle East,Vitamin
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Syrup,MediHealth,Europe,Antifungal
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Injection,PharmaCorp,Africa,Vitamin
ABIMOL EXTRA 20 TAB,1,AB,2024-10-07 15:47:24,3.0,True,Syrup,MedGen,Europe,Antifungal
ABIMOL EXTRA 20 TAB,3,AB,2024-10-07 15:47:24,25.0,True,Syrup,PharmaCorp,Middle East,Antifungal
ABIMOL EXTRA 20 TAB,3,AB,2024-10-07 15:47:24,1.0,True,Injection,MedGen,Africa,Antiviral
ABIMOL EXTRA 20 TAB,3,AB,2024-10-07 15:47:24,1.0,True,Tablet,PharmaCorp,North America,Antiviral
ABIMOL EXTRA 20 TAB,3,AB,2024-10-07 15:47:24,1.0,True,Ointment,BioTech,Middle East,Antifungal
ABIMOL EXTRA 20 TAB,3,AB,2024-10-07 15:47:24,1.0,True,Capsule,BioTech,Asia,Antibiotic
ABIMOL EXTRA 20 TAB,3,AB,2024-10-07 15:47:24,3.0,True,Injection,MedGen,Middle East,Antibiotic
ABIMOL EXTRA 20TAB,34,AB,2024-10-07 15:47:24,32.0,True,Capsule,MediHealth,Europe,Antiviral
ABIMOL EXTRA 20TAB,34,AB,2024-10-07 15:47:24,1.0,True,Injection,CureWell,Africa,Antifungal
ABIMOL EXTRA 20TAB,34,AB,2024-10-07 15:47:24,1.0,True,Syrup,CureWell,Africa,Painkiller
ABIMOL EXTRA 20TAB,34,AB,2024-10-07 15:47:24,1.0,True,Capsule,PharmaCorp,Middle East,Antifungal
ABIMOL EXTRA 20TAB,1,AB,2024-10-07 15:47:24,32.0,True,Injection,CureWell,Middle East,Antiviral
ABIMOL EXTRA 20TAB,1,AB,2024-10-07 15:47:24,1.0,True,Injection,BioTech,Middle East,Antiviral
ABIMOL EXTRA 20TAB,1,AB,2024-10-07 15:47:24,1.0,True,Injection,MedGen,Africa,Antibiotic
ABIMOL EXTRA 20TAB,1,AB,2024-10-07 15:47:24,1.0,True,Capsule,CureWell,Europe,Painkiller
ABIMOL EXTRA 20TAB,1,AB,2024-10-07 15:47:24,32.0,True,Ointment,MediHealth,Africa,Antiviral
ABIMOL EXTRA 20TAB,1,AB,2024-10-07 15:47:24,1.0,True,Syrup,MediHealth,Africa,Antibiotic
ABIMOL EXTRA 20TAB,1,AB,2024-10-07 15:47:24,1.0,True,Ointment,MedGen,Africa,Painkiller
ABIMOL EXTRA 20TAB,1,AB,2024-10-07 15:47:24,1.0,True,Capsule,CureWell,North America,Antiviral
ABIMOL EXTRA 20TAB,1,AB,2024-10-07 15:47:24,32.0,True,Injection,PharmaCorp,Africa,Antiviral
ABIMOL EXTRA 20TAB,1,AB,2024-10-07 15:47:24,1.0,True,Syrup,PharmaCorp,Middle East,Vitamin
ABIMOL EXTRA 20TAB,1,AB,2024-10-07 15:47:24,1.0,True,Capsule,PharmaCorp,Middle East,Antifungal
ABIMOL EXTRA 20TAB,1,AB,2024-10-07 15:47:24,1.0,True,Tablet,MediHealth,Europe,Antibiotic
ABIMOL SUPP,1,AB,2024-10-07 15:47:24,1.0,True,Syrup,PharmaCorp,North America,Vitamin
ABION تحليل مخدرات,1,AB,2024-10-07 15:47:24,1.0,True,Injection,MediHealth,Middle East,Antibiotic
ABO (BLOOD GROUP),1,AB,2024-10-07 15:47:24,1.0,True,Syrup,PharmaCorp,Africa,Antifungal
ABO FAS,1,AB,2024-10-07 15:47:24,1.0,True,Injection,MediHealth,Asia,Painkiller
ABOU YOUSEF BEAUTY TOOLS,1,AB,2024-10-07 15:47:24,1.0,True,Capsule,CureWell,North America,Antiviral
ABOU YOUSEF STYLE NAILS ATTRACTIVE,1,AB,2024-10-07 15:47:24,1.0,True,Ointment,PharmaCorp,Middle East,Painkiller
ABOU YOUSEF STYLE NAILS GEL FANTASY,1,AB,2024-10-07 15:47:24,1.0,True,Capsule,CureWell,Europe,Antifungal
ABOU YOUSEF VELVET PRESS ON,1,AB,2024-10-07 15:47:24,1.0,True,Injection,CureWell,Asia,Antibiotic
ABR VIT D 30 TAB,1,AB,2024-10-07 15:47:24,1.0,True,Capsule,MediHealth,North America,Antibiotic
ABRIFLEX XL,1,AB,2024-10-07 15:47:24,1.0,True,Injection,BioTech,Asia,Antiviral
ABSOLUTE NOURISHMENT SHAMPOO 700ML,1,AB,2024-10-07 15:47:24,1.0,True,Capsule,CureWell,Africa,Painkiller
ABSORBENT COTTON ROLL 100G (TICARE),1,AB,2024-10-07 15:47:24,1.0,True,Tablet,PharmaCorp,Asia,Antibiotic
ACANTHAPROP,1,AC,2024-10-07 15:47:38,1.0,True,Injection,PharmaCorp,Europe,Painkiller
ACANTHAPROP EYE DROPS,1,AC,2024-10-07 15:47:38,1.0,True,Ointment,CureWell,Asia,Antifungal
ACANTHAPROP 1MG/ML,1,AC,2024-10-07 15:47:38,1.0,True,Injection,CureWell,Europe,Antifungal
ACANTHAPROP 1MG/ML EYE DROPS 10 ML,3,AC,2024-10-07 15:47:39,3.0,True,Syrup,CureWell,Asia,Antibiotic
ACANTHAPROP 1MG/ML EYE DROPS 10 ML,3,AC,2024-10-07 15:47:39,1.0,True,Ointment,BioTech,Africa,Vitamin
ACANTHAPROP 1MG/ML EYE DROPS 10 ML,1,AC,2024-10-07 15:47:39,3.0,True,Ointment,CureWell,Asia,Painkiller
ACANTHAPROP 1MG/ML EYE DROPS 10 ML,1,AC,2024-10-07 15:47:39,1.0,True,Syrup,MedGen,Europe,Antibiotic
ACANTHAPROP DROPS,1,AC,2024-10-07 15:47:39,1.0,True,Injection,MediHealth,Middle East,Vitamin
ACANTHAPROP EYEDROPS,1,AC,2024-10-07 15:47:39,1.0,True,Ointment,BioTech,Europe,Antiviral
ACARA حنة سوداء,1,AC,2024-10-07 15:47:39,1.0,True,Injection,CureWell,Asia,Vitamin
ACAVIO MASSAGE GEL 50 ML,1,AC,2024-10-07 15:47:39,1.0,True,Capsule,MediHealth,Africa,Antibiotic
ACC 200MG 20SACHETS,1,AC,2024-10-07 15:47:39,1.0,True,Ointment,MedGen,Europe,Antifungal
ACC 200MG 20SACHETS,1,AC,2024-10-07 15:47:39,1.0,True,Injection,MediHealth,North America,Antibiotic
ACC 200MG 20SACHETS,1,AC,2024-10-07 15:47:39,1.0,True,Ointment,MediHealth,Europe,Antiviral
ACC 200MG 20SACHETS,1,AC,2024-10-07 15:47:39,1.0,True,Injection,MedGen,Europe,Antifungal
ACC LONG EFF 600 MG 10’S,1,AC,2024-10-07 15:47:39,1.0,True,Ointment,CureWell,Middle East,Antibiotic
ACC-CHEK INSTANT 50 STRIP,1,AC,2024-10-07 15:47:39,1.0,True,Tablet,BioTech,North America,Antifungal
ACCELAFEN 30 TABS,1,AC,2024-10-07 15:47:39,1.0,True,Capsule,MedGen,Asia,Antifungal
ACCELAFEN 30 TABS,1,AC,2024-10-07 15:47:39,2.0,True,Injection,PharmaCorp,Middle East,Antibiotic
ACCELAFEN 30 F.C.TABS.,2,AC,2024-10-07 15:47:39,2.0,True,Tablet,PharmaCorp,Asia,Antiviral
ACCELAFEN 30 TAB,2,AC,2024-10-07 15:47:39,2.0,True,Tablet,BioTech,Asia,Painkiller
ACCELAFEN 30 TAB,2,AC,2024-10-07 15:47:39,1.0,True,Ointment,CureWell,Middle East,Antifungal
ACCELAFEN 30 TAB,1,AC,2024-10-07 15:47:39,2.0,True,Syrup,PharmaCorp,Africa,Antifungal
ACCELAFEN 30 TAB,1,AC,2024-10-07 15:47:39,1.0,True,Capsule,CureWell,Europe,Antibiotic
ACCELAFEN 30 TABS,2,AC,2024-10-07 15:47:39,1.0,True,Syrup,BioTech,Europe,Vitamin
ACCELAFEN 30 TABS,2,AC,2024-10-07 15:47:39,2.0,True,Ointment,BioTech,Africa,Antibiotic
ACCELAFEN TAB,1,AC,2024-10-07 15:47:39,1.0,True,Capsule,MediHealth,Europe,Antibiotic
ACCELOCAL TABS,1,AC,2024-10-07 15:47:39,1.0,True,Injection,CureWell,Asia,Antifungal
ACCELOCAL 30 TABS,1,AC,2024-10-07 15:47:39,1.0,True,Tablet,BioTech,Asia,Painkiller
ACCELOCAL 30 TAB,1,AC,2024-10-07 15:47:39,1.0,True,Syrup,MediHealth,Europe,Vitamin
ACCELOCAL TAB,1,AC,2024-10-07 15:47:39,1.0,True,Tablet,CureWell,Europe,Antiviral
ACCELOCAL TABLET,1,AC,2024-10-07 15:47:39,1.0,True,Injection,CureWell,Asia,Antifungal
ACCTOFENSE TABS,1,AC,2024-10-07 15:47:39,1.0,True,Syrup,CureWell,Europe,Vitamin
ACCU - CHEK PERFORMA TEST STRIPS 50,1,AC,2024-10-07 15:47:39,1.0,True,Capsule,PharmaCorp,North America,Antiviral
ACCU CHECK ACTIVE,1,AC,2024-10-07 15:47:39,1.0,True,Injection,MedGen,North America,Vitamin
ACCU CHECK ACTIVE DEVICE,1,AC,2024-10-07 15:47:39,1.0,True,Ointment,MedGen,Middle East,Vitamin
ACCU CHECK ACTIVE MACHINE,1,AC,2024-10-07 15:47:39,1.0,True,Tablet,MediHealth,Middle East,Antifungal
ACCU CHECK INSTANT,1,AC,2024-10-07 15:47:39,1.0,True,Injection,MedGen,Africa,Painkiller
ACCU CHECK INSTANT,1,AC,2024-10-07 15:47:39,1.0,True,Capsule,CureWell,North America,Antibiotic
ACCU CHECK INSTANT,1,AC,2024-10-07 15:47:39,2.0,True,Injection,PharmaCorp,Middle East,Vitamin
ACCU CHECK INSTANT,1,AC,2024-10-07 15:47:40,1.0,True,Capsule,BioTech,Europe,Antifungal
ACCU CHECK INSTANT,1,AC,2024-10-07 15:47:40,1.0,True,Tablet,MedGen,Asia,Painkiller
